iter	Passed	Remaining
865	2098	324
866	2099	322
867	2100	319
868	2102	316
869	2103	314
870	2103	311
871	2104	308
872	2105	306
873	2106	303
874	2106	300
875	2107	298
876	2112	296
877	2113	293
878	2114	291
879	2115	288
880	2116	285
881	2117	283
882	2118	280
883	2120	278
884	2126	276
885	2127	273
886	2129	271
887	2129	268
888	2130	266
889	2131	263
890	2135	261
891	2136	258
892	2137	256
893	2138	253
894	2138	250
895	2139	248
896	2140	245
897	2141	243
898	2142	240
899	2147	238
900	2148	236
901	2149	233
902	2150	230
903	2150	228
904	2152	225
905	2153	223
906	2153	220
907	2160	218
908	2161	216
909	2162	213
910	2162	211
911	2163	208
912	2168	206
913	2169	204
914	2170	201
915	2171	199
916	2172	196
917	2173	194
918	2174	191
919	2175	189
920	2175	186
921	2180	184
922	2181	182
923	2182	179
924	2183	177
925	2184	174
926	2185	172
927	2186	169
928	2187	167
929	2188	164
930	2189	162
931	2193	160
932	2193	157
933	2194	155
934	2195	152
935	2196	150
936	2197	147
937	2198	145
938	2203	143
939	2205	140
940	2207	138
941	2208	136
942	2209	133
943	2214	131
944	2215	128
945	2217	126
946	2218	124
947	2219	121
948	2221	119
949	2222	116
950	2226	114
951	2226	112
952	2230	110
953	2232	107
954	2232	105
955	2234	102
956	2236	100
957	2238	98
958	2240	95
959	2241	93
960	2256	91
961	2257	89
962	2258	86
963	2259	84
964	2261	82
965	2276	80
966	2277	77
967	2278	75
968	2279	72
969	2279	70
970	2280	68
971	2281	65
972	2282	63
973	2283	60
974	2285	58
975	2285	56
976	2286	53
977	2291	51
978	2295	49
979	2296	46
980	2296	44
981	2301	42
982	2304	39
983	2305	37
984	2306	35
985	2307	32
986	2308	30
987	2308	28
988	2310	25
989	2311	23
990	2312	21
991	2314	18
992	2315	16
993	2316	13
994	2317	11
995	2319	9
996	2324	6
997	2325	4
998	2326	2
999	2327	0
